,EventName,PreSalename,PreSalestartdate,PreSaleenddate,StartDatetime,StartLocaltime,StartLocalDate,StartTimezone,EventCategory,Genre,SubGenre,Family,PromoterName,MinPrice,MaxPrice,TicketInfo,CityName,StateName,PostalCode,Address,Longitude,Latitude,UpcomingMoreevent ,ticket0nTickeMaster,Venue,LineUp
0,New York Giants vs. Dallas Cowboys,Season Ticket Holder Presale,2019-04-18T00:00:00Z,2019-04-20T02:00:00Z,2019-11-05T01:15:00Z,20:15:00,2019-11-04,America/New_York,Sports,Football,NFL,False,NFL REGULAR SEASON,125.0,775.0,There is a six (6) ticket limit per household.,East Rutherford,New Jersey,07073,One MetLife Stadium Drive,-74.074493,40.81359,9,9,MetLife Stadium,New York Giants
1,UFC 244,Fight Club Presale,2019-09-18T14:00:00Z,2019-09-19T13:00:00Z,2019-11-02T22:15:00Z,18:15:00,2019-11-02,America/New_York,Sports,Martial Arts,Mixed Martial Arts,False,PROMOTED BY VENUE,131.0,3506.0,There is an eight (8) ticket limit for this event.,New York,New York,10001,7th Ave & 32nd Street,-73.9916006,40.7497062,3,2,Madison Square Garden,Ultimate Fighting Championship - UFC
2,Seattle Seahawks vs. Tampa Bay Buccaneers,Blue Pride,2019-10-16T19:00:00Z,2019-10-23T20:00:00Z,2019-11-03T21:05:00Z,13:05:00,2019-11-03,America/Los_Angeles,Sports,Football,NFL,False,NFL REGULAR SEASON,75.0,800.0,There is an overall 20 ticket limit for this event.,Seattle,Washington,98134,800 Occidental Ave S,-122.331607,47.595083,10,9,CenturyLink Field,Seattle Seahawks
3,Atlanta Hawks vs. Los Angeles Lakers,Resale Onsale,2019-08-12T19:00:00Z,2019-08-13T02:00:00Z,2019-12-15T23:00:00Z,18:00:00,2019-12-15,America/New_York,Sports,Basketball,NBA,False,NBA REGULAR SEASON,129.0,999.0,There is an 8 ticket limit.,Atlanta,Georgia,30303,One State Farm Drive,-84.394569,33.757796,78,70,State Farm Arena,Atlanta Hawks
4,New York Knicks vs. Los Angeles Lakers,Chase Cardmember Presale,2019-08-28T14:00:00Z,2019-08-30T14:00:00Z,2020-01-23T00:30:00Z,19:30:00,2020-01-22,America/New_York,Sports,Basketball,NBA,False,NBA REGULAR SEASON,199.0,8987.5,There is a nineteen (19) ticket limit per person.,New York,New York,10001,7th Ave & 32nd Street,-73.9916006,40.7497062,77,69,Madison Square Garden,New York Knicks
5,Eagles,American Express® Card Member Presale,2019-10-14T14:00:00Z,2019-10-18T02:00:00Z,2020-02-08T01:00:00Z,20:00:00,2020-02-07,America/New_York,Music,Rock,Pop,False,LIVE NATION MUSIC,99.0,750.0,There is an overall 8 ticket limit for this event.,Atlanta,Georgia,30303,One State Farm Drive,-84.394569,33.757796,23,21,State Farm Arena,Eagles
6,Eagles,Official Platinum,2019-10-14T14:00:00Z,2020-02-15T01:00:00Z,2020-02-15T01:00:00Z,20:00:00,2020-02-14,America/New_York,Music,Rock,Pop,False,PROMOTED BY VENUE,129.0,750.0,There is an eight (8) ticket limit for this event.,New York,New York,10001,7th Ave & 32nd Street,-73.9916006,40.7497062,23,21,Madison Square Garden,Eagles
7,Eagles,American Express® Card Member Presale,2019-10-14T15:00:00Z,2019-10-18T03:00:00Z,2020-03-01T02:00:00Z,20:00:00,2020-02-29,America/Chicago,Music,Rock,Pop,False,LIVE NATION MUSIC,129.0,750.0,There is an overall eight (8) ticket limit for this event.,Dallas,Texas,75201,2500 Victory Avenue,-96.81081803,32.79067196,23,21,American Airlines Center,Eagles
8,Dallas Mavericks vs. Los Angeles Lakers,Citi® Cardmember Presale,2019-09-16T15:00:00Z,2019-09-17T03:00:00Z,2019-11-02T01:30:00Z,20:30:00,2019-11-01,America/Chicago,Sports,Basketball,NBA,False,NBA REGULAR SEASON,70.0,2700.0,There is an 4 ticket limit for this game.,Dallas,Texas,75201,2500 Victory Avenue,-96.81081803,32.79067196,78,69,American Airlines Center,Dallas Mavericks
9,Eagles,American Express® Card Member Presale,2019-10-14T14:00:00Z,2019-10-18T02:00:00Z,2020-02-09T01:00:00Z,20:00:00,2020-02-08,America/New_York,Music,Rock,Pop,False,LIVE NATION MUSIC,99.0,750.0,There is an overall 8 ticket limit for this event.,Atlanta,Georgia,30303,One State Farm Drive,-84.394569,33.757796,23,21,State Farm Arena,Eagles
10,Eagles,Official Platinum,2019-10-14T14:00:00Z,2020-02-16T01:00:00Z,2020-02-16T01:00:00Z,20:00:00,2020-02-15,America/New_York,Music,Rock,Pop,False,PROMOTED BY VENUE,129.0,750.0,There is an eight (8) ticket limit for this event.,New York,New York,10001,7th Ave & 32nd Street,-73.9916006,40.7497062,23,21,Madison Square Garden,Eagles
11,Eagles,American Express ® Card Member Presale,2019-10-28T16:00:00Z,2019-11-01T04:00:00Z,2020-03-29T02:00:00Z,20:00:00,2020-03-28,America/Denver,Music,Rock,Pop,False,PROMOTED BY VENUE,129.0,750.0,There is an overall 8 ticket limit for this event.,Denver,Colorado,80204,1000 Chopper Circle,-105.010166,39.74724,23,21,Pepsi Center,Eagles
14,Eagles,American Express® Card Member Presale,2019-10-28T15:00:00Z,2019-11-01T03:00:00Z,2020-04-04T01:00:00Z,20:00:00,2020-04-03,America/Chicago,Music,Rock,Pop,False,LIVE NATION MUSIC,126.0,767.0,There is an overall 8 ticket limit for this event.,Saint Paul,Minnesota,55102,199 Kellogg Blvd,-93.10121819,44.94489438,23,21,Xcel Energy Center,Eagles
15,Eagles,American Express® Card Member Presale,2019-10-28T15:00:00Z,2019-11-01T03:00:00Z,2020-04-05T01:00:00Z,20:00:00,2020-04-04,America/Chicago,Music,Rock,Pop,False,LIVE NATION MUSIC,126.0,767.0,There is an overall 8 ticket limit for this event.,Saint Paul,Minnesota,55102,199 Kellogg Blvd,-93.10121819,44.94489438,23,21,Xcel Energy Center,Eagles
16,Eagles,Live Nation Mobile App Presale,2019-10-17T17:00:00Z,2019-10-18T05:00:00Z,2020-04-19T03:00:00Z,20:00:00,2020-04-18,America/Los_Angeles,Music,Rock,Pop,False,LIVE NATION MUSIC,99.0,750.0,There is an 8 ticket limit per household.,Inglewood,California,90305,3900 W Manchester Blvd.,-118.341868,33.9583,23,21,The Forum,Eagles
17,San Antonio Spurs vs. Los Angeles Lakers,Resale Onsale,2019-08-12T15:00:00Z,2019-10-24T00:30:00Z,2019-11-26T01:30:00Z,19:30:00,2019-11-25,America/Chicago,Sports,Basketball,NBA,False,NBA REGULAR SEASON,67.0,2000.0,There is a 6 ticket limit for this event.,San Antonio,Texas,78219,1 AT&T Center,-98.4337987,29.4330386,79,68,AT&T Center,San Antonio Spurs
18,New England Patriots vs. Dallas Cowboys,Resale Onsale,2019-04-01T14:00:00Z,2019-04-02T00:00:00Z,2019-11-24T21:25:00Z,16:25:00,2019-11-24,America/New_York,Sports,Football,NFL,False,NFL REGULAR SEASON,140.0,462.0,There is a four (4) ticket limit.,Foxborough,Massachusetts,02035,1 Patriot Place,-71.264321,42.090918,8,8,Gillette Stadium,New England Patriots
19,Eagles,American Express Presale,2019-10-14T17:00:00Z,2019-10-18T05:00:00Z,2020-04-12T03:00:00Z,20:00:00,2020-04-11,America/Los_Angeles,Music,Rock,Pop,False,LIVE NATION MUSIC,129.0,750.0,There is an 8 ticket limit.,San Francisco,California,94158,300 16th Street,-122.387464,37.76797,23,21,Chase Center,Eagles
20,Eagles,American Express® Card Member Presale,2019-10-14T15:00:00Z,2019-10-18T03:00:00Z,2020-03-02T02:00:00Z,20:00:00,2020-03-01,America/Chicago,Music,Rock,Pop,False,LIVE NATION MUSIC,129.0,750.0,There is an overall eight (8) ticket limit for this event.,Dallas,Texas,75201,2500 Victory Avenue,-96.81081803,32.79067196,23,21,American Airlines Center,Eagles
21,Eagles,Live Nation Mobile App Presale,2019-10-17T17:00:00Z,2019-10-18T05:00:00Z,2020-04-18T03:00:00Z,20:00:00,2020-04-17,America/Los_Angeles,Music,Rock,Pop,False,LIVE NATION MUSIC,99.0,750.0,There is an 8 ticket limit per household.,Inglewood,California,90305,3900 W Manchester Blvd.,-118.341868,33.9583,23,21,The Forum,Eagles
22,Eagles,American Express® Card Member Presale,2019-10-21T14:00:00Z,2019-10-25T02:00:00Z,2020-02-12T00:30:00Z,19:30:00,2020-02-11,America/New_York,Music,Rock,Pop,False,LIVE NATION MUSIC,99.0,750.0,There is an overall 8 ticket limit for this event.,Atlanta,Georgia,30303,One State Farm Drive,-84.394569,33.757796,23,21,State Farm Arena,Eagles
23,Golden State Warriors vs. Boston Celtics,Resale,2019-08-14T17:00:00Z,2019-11-16T03:30:00Z,2019-11-16T03:30:00Z,19:30:00,2019-11-15,America/Los_Angeles,Sports,Basketball,NBA,False,NBA REGULAR SEASON,115.0,2850.0,There is a 8 ticket limit.,San Francisco,California,94158,300 16th Street,-122.387464,37.76797,78,69,Chase Center,Golden State Warriors
24,Eagles,American Express ® Card Member Presale,2019-10-28T16:00:00Z,2019-11-01T04:00:00Z,2020-03-27T01:30:00Z,19:30:00,2020-03-26,America/Denver,Music,Rock,Pop,False,PROMOTED BY VENUE,129.0,750.0,There is an overall 8 ticket limit for this event.,Denver,Colorado,80204,1000 Chopper Circle,-105.010166,39.74724,23,21,Pepsi Center,Eagles
25,Eagles,Official Platinum,2019-10-23T14:00:00Z,2020-02-19T00:30:00Z,2020-02-19T00:30:00Z,19:30:00,2020-02-18,America/New_York,Music,Rock,Pop,False,PROMOTED BY VENUE,129.0,750.0,There is an eight (8) ticket limit for this event.,New York,New York,10001,7th Ave & 32nd Street,-73.9916006,40.7497062,23,21,Madison Square Garden,Eagles
26,Eagles,American Express® Card Member Presale,2019-10-15T17:00:00Z,2019-10-18T03:00:00Z,2020-03-18T00:30:00Z,19:30:00,2020-03-17,America/Chicago,Music,Rock,Pop,False,LIVE NATION MUSIC,129.0,750.0,There is an overall eight (8) ticket limit for this event.,Dallas,Texas,75201,2500 Victory Avenue,-96.81081803,32.79067196,23,21,American Airlines Center,Eagles
27,Eagles,American Express® Card Member Presale,2019-10-21T17:00:00Z,2019-10-25T05:00:00Z,2020-04-25T03:00:00Z,20:00:00,2020-04-24,America/Los_Angeles,Music,Rock,Pop,False,LIVE NATION MUSIC,99.0,750.0,There is an 8 ticket limit per household.,Inglewood,California,90305,3900 W Manchester Blvd.,-118.341868,33.9583,23,21,The Forum,Eagles
